Date,AAPL,MSFT,NVDA,GOOGL,META,AVGO,CRM,ADBE,JPM,BAC,GS,MS,BLK,AXP,WFC,SCHW,JNJ,UNH,PFE,ABBV,MRK,TMO,ABT,MDT,AMZN,TSLA,MCD,NKE,SBUX,TGT,COST,XOM,CVX,COP,SLB,EOG,PSX,CAT,BA,HON,UPS,RTX,DE,NEE,DUK,AMT,PLD,LIN,VZ
2019-02-27,111341600,21487100,500256000,22092000,12697500,29146000,4278300,2266800,9968800,48128600,1804200,6916600,461100,2393500,17455000,3582500,4378100,8952900,16475074,4175500,7852978,1759100,5706500,7327200,62976000,167758500,2261700,4588200,13274800,5164400,1482700,12398200,5289800,5355700,7442700,6452100,1881900,3441000,4603800,1858235,2620800,3969322,1850500,7288000,2112500,1632200,2303100,1451800,8962800
2019-02-28,112861600,29083900,324944000,27422000,11114200,31460000,6908100,3810300,15156900,62358100,2964300,12299900,512100,3295800,17786600,5900400,10133200,11034300,39002427,6310800,11588365,2061300,6762700,12189600,60518000,157810500,3297900,4988100,18956700,5375600,2055600,14597900,6406500,8154300,8846900,5204700,2351200,4024000,5063100,3017378,2843600,7017342,1778000,12454000,4137300,2888500,4170500,1698300,15743000
2019-03-01,103544800,23501200,357188000,34086000,11097800,19035000,6919900,2594000,13813300,45771500,2580500,12336100,657200,2682000,19051400,7009000,5641600,6921300,26667781,8567900,10624205,1433700,5390100,8021400,99498000,343671000,2691000,6314900,8067700,6833800,2178200,15419400,7743600,7372600,8811700,5033900,2879000,3811000,5124200,3591909,3904100,6073158,1668900,6865600,5613700,2048000,3763700,3033500,10942700
2019-03-04,109744800,26608000,409992000,35490000,18894700,17382000,17886300,2994900,12466300,56893200,2683600,12115100,686100,4053200,16697000,6353900,8377700,8646300,22805820,5872500,8522755,1342800,5962800,5620100,123348000,256452000,4899800,7339500,9219700,7383800,2444700,18089900,7499500,6625800,6946300,3729100,2386200,3859800,5971000,4316572,2730700,5526065,2663100,8609200,3104400,1678000,2489200,1738100,13674400
2019-03-05,78949600,19538300,362924000,40094000,28187900,21699000,16042900,2101800,10856600,39932500,2338600,10449100,433500,2685700,14235400,4432300,6568900,6924500,26529812,5933100,8698190,2900200,6547500,6073900,73630000,281470500,3362500,4976300,10496100,17015100,2160200,13745500,7345200,7635500,7391100,3337000,2511900,3122900,2844300,3588196,3150900,5141845,1965900,7666800,3513400,1991500,1981200,1205900,15749500
2019-03-06,83241600,17687000,403524000,23602000,21531700,19973000,7436300,1950500,9070800,41672000,2247500,7062700,272700,2616000,14211000,3776300,6236900,4878700,22410359,5293200,8167169,1533100,4182100,4070700,79920000,155032500,2083900,3198000,7666100,7874200,1985300,18633600,7599900,7296300,9948900,5079200,2644600,3886000,4159400,4169093,2679500,5592486,2229700,7155600,3121400,1226000,2303900,986800,13935500
2019-03-07,99185600,25339000,450104000,30086000,18306500,25411000,6916500,3185200,12705700,53908600,3567800,12502100,467400,3048200,19047300,7948300,6100400,5033500,29046132,6642500,10925505,1227500,5292600,4876100,99140000,141637500,3268100,4321800,7814700,5617900,3279100,16541700,7201100,6964300,8086500,3731300,3638000,4290800,4893600,3797956,3979700,6616437,2051300,9411200,3531000,1375900,2895400,1450100,12644200
2019-03-08,95997600,22818400,422416000,23694000,13184800,22167000,4800700,2195400,10582400,40860700,3162700,11748400,587100,2077100,17400000,6597900,7046700,4921700,31306119,6189100,11716326,1169200,3895400,4113900,93340000,132294000,2757200,4669700,12363900,4581900,6782700,16211300,7014100,8068800,12739200,6761000,3334100,4238000,3794900,3098863,2648600,4912394,1757300,6972800,2443800,1276000,2924900,1558400,10617300
2019-03-11,128044000,26491600,859728000,30032000,18884000,27161000,5699500,2711700,9763200,40709300,2669000,7191600,593100,3289200,19471500,6048500,6150400,4539600,29161545,8078100,9126613,1589300,4254600,4639100,77528000,110884500,2071500,3999800,11518300,3435900,3748400,11060900,6088600,8703500,9494500,7699100,2257400,3914800,34742200,2963161,2963400,7398066,1340300,7135600,3720200,1586700,2102100,1188800,13627400
2019-03-12,129870400,26132700,579576000,42220000,12155300,23324000,4082100,2583500,10219100,34450000,1977400,7204400,504700,3917500,18299300,4524200,5552900,4235800,24170539,6128800,9261281,1297200,4241200,6149100,72290000,112561500,2191800,4431600,12751700,3646200,2647100,11320000,6184300,11790200,8230600,8308900,2362600,4208800,36922600,1933142,2549600,6108434,1553100,7140400,4583700,1618300,2646700,1309200,12813000
2019-03-13,124130000,35513800,768900000,25888000,11973300,32089000,5230600,3992500,13022200,54683300,1904500,9269000,606700,4234100,21647300,5602000,6446900,4881600,23715316,5984500,8059749,1569100,6479200,6638200,71040000,102670500,2612100,5037800,13798600,3796600,2421200,10260200,4707000,8324800,8822800,6656000,2294500,4285200,32662300,2688468,3323800,7713801,1661800,4916000,4510500,1512600,2712900,1538500,14168300
2019-03-14,94318000,30763400,519384000,27302000,18037400,43094000,3247200,5113400,10926500,45219100,1482300,8351200,501700,3538200,20160700,9023400,8493600,3865200,32119596,6161800,8530406,1513900,5734500,5578600,58932000,106551000,2375300,5906100,9249200,3779500,2300300,9976700,5146400,7315500,7934400,4338900,1663000,3742200,13514100,2819714,2539600,6236984,1596800,5816800,3600300,1183800,2226500,1033200,12148300
2019-03-15,156171600,54681100,661484000,51886000,37135400,144066000,6743700,12110500,24811700,82346200,2985200,18992600,1756900,4780400,46117300,7283900,11922500,6466200,74768652,12751100,17341046,2371800,11989400,9493800,151018000,221782500,6010500,11031400,13096900,5274100,5075400,25316400,10449700,16733200,14144900,8939900,3785800,7049900,26697700,5609825,4874400,15396933,2386300,14402000,7614200,2541700,3686400,3661400,23715300
2019-03-18,104879200,31207600,486992000,24442000,37524200,56746000,3575500,4013400,12935500,58568600,3354900,10305900,550700,2918000,23843300,3489100,7369600,3927400,18994345,5550100,14357914,1449200,7671100,8347700,108582000,154215000,3669200,7750700,5682400,3923500,1735400,9840600,5586900,7712200,13518800,4197000,2530800,4095400,13119200,2542050,2394600,6181051,1962400,7469200,3977000,1556200,1739100,1220400,12168100
2019-03-19,126585600,37588700,854972000,29788000,25611500,51556000,4379000,4257300,12889300,55455100,3284900,12548500,948500,3331300,19911900,4462000,5882500,4164800,26403227,6335500,10224393,1551300,6048600,5909400,127284000,177009000,4102800,6642200,7810700,4192300,1852300,13936500,5096800,6456400,8834700,7035400,2932600,3315900,9856100,2858971,2940800,4704076,1685400,8080800,4656600,1848200,1864000,1251600,13462700
2019-03-20,124140800,28113300,719148000,41508000,20211500,41263000,4391000,3732600,14920700,81689900,5033500,15078500,881600,3309300,20632400,8102100,5475700,4193500,23499035,5360900,11894590,1524200,5388800,4772600,125312000,103623000,3522400,5991500,9512400,4325300,1499500,13133600,6708500,7117300,9512500,7928500,3292600,3522100,8737600,2518496,4199100,4680876,2017100,8669200,3838800,1537900,2510700,1536400,11902900
2019-03-21,204136800,29854400,824312000,28150000,16223000,27379000,4277800,2359900,19751000,77444400,4031500,14576200,472400,3111000,24132800,8840300,5765100,2699700,24262553,5159200,9473291,1424100,5899100,4217000,115356000,89206500,2830200,10386900,8044400,5322000,1617000,10117000,5050400,5580900,6168400,5389100,2124000,2635700,6951000,2070966,1819900,4127904,1082200,7499200,4461100,1761300,2138500,1146300,10920100
